date,gross_return,net_return,turnover,transaction_cost,naive_reversal_net_return,SPY_return
2021-04-01,0.003487707810559193,0.003087707810559193,0.8,0.0004,-0.00390053010185829,0.010799054872468794
2021-04-05,,,,,-0.007465998866223455,0.014353331754287435
2021-04-06,,,,,-0.0012257479641573418,-0.0005907587861198049
2021-04-07,,,,,-0.005667783273770677,0.0011572747113832715
2021-04-08,,,,,0.00021299061710463598,0.004746943907242063
2021-04-09,,,,,-1.6836044711154212e-05,0.0072700564216205965
2021-04-12,,,,,0.0002285982320748171,0.00036455172406135716
2021-04-13,,,,,-0.0064776578059003885,0.0029637708423622122
2021-04-14,,,,,-0.001154973901376665,-0.0034151458298610216
2021-04-15,,,,,-0.01907356562105589,0.010742495071998759
2021-04-16,,,,,-0.0025797310774491092,0.0033424214574955258
2021-04-19,,,,,0.007689722953538448,-0.004913258586045299
2021-04-20,,,,,-0.010770811659682822,-0.007321405005289439
2021-04-21,,,,,0.00868576372046439,0.00946223118238021
2021-04-22,,,,,0.003687734953632533,-0.009133072728702007
2021-04-23,,,,,-0.009743459702064083,0.010842229827754846
2021-04-26,,,,,0.002192395025494488,0.002087622108565723
2021-04-27,,,,,-0.0009073943963044947,-0.0002152439000535633
2021-04-28,,,,,0.004754694962943996,-0.00028775798340596737
2021-04-29,,,,,-0.0023566129830703887,0.006373047641607954
2021-04-30,,,,,0.007046050766423257,-0.006570557771670149
2021-05-03,,,,,0.0002905562124185919,0.0021566999421518407
2021-05-04,,,,,-0.001804836826771616,-0.006169276316385752
2021-05-05,0.005370395399279115,0.0048703953992791146,1.0,0.0005,-0.01319273680111914,0.00031297297756238684
2021-05-06,,,,,-0.00034180503089831747,0.007985426514090177
2021-05-07,,,,,-0.001462147008094183,0.007278058965961343
2021-05-10,,,,,-0.0021350756231339474,-0.009902561212736805
2021-05-11,,,,,-0.0018994150340381315,-0.008924591214882205
2021-05-12,,,,,-0.010229137022905578,-0.02124535253229598
2021-05-13,-0.00142609312548081,-0.00192609312548081,1.0,0.0005,0.005127881102764948,0.012012599181154826
2021-05-14,,,,,0.0015589692047411673,0.01535529074578701
2021-05-17,,,,,0.002413050635944614,-0.0025446047038716335
2021-05-18,,,,,0.0033145898961221007,-0.008615631216635555
2021-05-19,,,,,0.007472630186062702,-0.002621730451558335
2021-05-20,,,,,-0.0020030520133906375,0.010757921593692599
2021-05-21,,,,,0.0025225060163224125,-0.0008188335976228034
2021-05-24,,,,,-0.008211853915953478,0.01019447387558281
2021-05-25,,,,,0.00582891086376824,-0.0022188710284429813
2021-05-26,,,,,-0.001640863068786241,0.001984667188171807
2021-05-27,,,,,-0.004180745847403555,0.0005248903846895026
2021-05-28,,,,,0.003622981475182702,0.0017885382216564771
2021-06-01,,,,,-0.0008894653042707747,-0.000880265118802348
2021-06-02,,,,,-0.006359545094166813,0.0015722636314103866
2021-06-03,,,,,0.0006048151444423664,-0.0037112596174655454
2021-06-04,,,,,-0.004417248125738382,0.00914565874194806
2021-06-07,,,,,-0.012521611463388859,-0.0009700339457758833
2021-06-08,,,,,-0.0019754198921035633,0.00021298624830135005
2021-06-09,,,,,-0.0030489892781101653,-0.0014917469154134277
