date,net_exposure
2024-08-09,1.3877787807814457e-17
2024-08-16,2.42861286636753e-17
2024-08-19,-2.7755575615628914e-17
2024-08-20,-6.938893903907228e-18
2024-08-21,-2.7755575615628914e-17
2024-08-22,1.3877787807814457e-17
2024-09-03,6.938893903907228e-18
2024-09-04,1.3877787807814457e-17
2024-09-05,2.0816681711721685e-17
2024-09-10,-2.42861286636753e-17
2024-09-17,0.0
2024-09-25,-1.3877787807814457e-17
2024-10-01,0.0
2024-10-11,-6.938893903907228e-18
2024-10-30,-1.3877787807814457e-17
2024-10-31,-1.734723475976807e-17
2024-11-06,0.0
2024-11-07,-4.163336342344337e-17
2024-11-13,-6.938893903907228e-18
2024-11-14,-2.0816681711721685e-17
2024-11-22,-1.0408340855860843e-17
2024-11-25,3.469446951953614e-17
2024-11-26,1.3877787807814457e-17
2024-12-17,-3.469446951953614e-18
2024-12-18,2.0816681711721685e-17
2024-12-19,-2.0816681711721685e-17
2024-12-23,-1.0408340855860843e-17
2025-01-13,-6.938893903907228e-18
2025-01-27,2.42861286636753e-17
2025-02-03,1.3877787807814457e-17
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,2.7755575615628914e-17
2025-02-28,0.0
2025-03-03,-3.469446951953614e-17
2025-03-11,-3.469446951953614e-18
2025-03-12,3.8163916471489756e-17
2025-03-19,-6.938893903907228e-18
2025-03-20,0.0
2025-03-21,-4.163336342344337e-17
2025-03-27,3.122502256758253e-17
2025-03-28,-6.938893903907228e-18
2025-04-03,-2.7755575615628914e-17
2025-04-04,0.0
2025-04-07,-1.3877787807814457e-17
2025-04-10,1.0755285551056204e-16
2025-04-11,6.938893903907228e-18
2025-04-14,2.7755575615628914e-17
2025-05-08,1.3877787807814457e-17
2025-05-13,6.938893903907228e-18
2025-05-14,1.3877787807814457e-17
2025-05-15,6.938893903907228e-17
2025-05-16,0.0
2025-05-20,5.204170427930421e-17
2025-06-03,4.85722573273506e-17
2025-06-06,2.0816681711721685e-17
2025-06-13,-2.0816681711721685e-17
2025-06-16,6.938893903907228e-18
2025-06-17,0.0
2025-06-18,2.7755575615628914e-17
2025-06-20,-1.3877787807814457e-17
2025-06-30,0.0
2025-07-16,-6.938893903907228e-18
2025-07-17,2.7755575615628914e-17
2025-07-22,-2.0816681711721685e-17
2025-07-23,-5.551115123125783e-17
2025-07-29,-1.0408340855860843e-17
2025-07-30,-3.469446951953614e-17
2025-08-05,1.3877787807814457e-17
2025-08-06,0.0
2025-08-11,-1.3877787807814457e-17
2025-08-14,0.0
2025-08-26,-6.245004513516506e-17
2025-08-27,-2.7755575615628914e-17
2025-09-04,2.0816681711721685e-17
2025-09-05,0.0
2025-09-08,-1.734723475976807e-17
2025-10-07,-6.938893903907228e-18
2025-10-08,1.734723475976807e-17
2025-10-17,1.3877787807814457e-17
2025-10-31,1.3877787807814457e-17
2025-11-03,-6.938893903907228e-18
2025-11-04,-1.0408340855860843e-16
2025-11-11,-5.551115123125783e-17
2025-11-12,6.938893903907228e-18
2025-11-14,-3.469446951953614e-18
2025-11-19,-1.3877787807814457e-17
2025-11-24,3.8163916471489756e-17
2025-11-25,2.42861286636753e-17
2025-11-26,2.0816681711721685e-17
2025-11-28,-1.3877787807814457e-17
2025-12-01,3.469446951953614e-17
2025-12-19,-5.551115123125783e-17
2026-01-06,0.0
2026-01-21,-6.938893903907228e-18
2026-01-22,-1.3877787807814457e-17
2026-01-23,6.938893903907228e-18
2026-01-26,-3.469446951953614e-17
2026-02-05,1.0408340855860843e-17
2026-02-06,-1.3877787807814457e-17
2026-02-09,0.0
2026-02-10,-3.8163916471489756e-17
2026-02-11,-6.938893903907228e-18
2026-03-09,4.163336342344337e-17
2026-03-10,4.163336342344337e-17
